fold,comparison,n_zero_gap,later_better_n,later_better_pct,earlier_better_n,earlier_better_pct,tie_n,tie_pct,mean_delta,median_delta,q05_delta,q95_delta,sign_test_p
0,v1_to_v2,9114,4963,54.45468509984639,4151,45.54531490015361,0,0.0,0.024175198702942644,0.003195716184563935,-0.23507140874862667,0.3662199081853037,1.8861089601331495e-17
0,v2_to_gnn,9114,8410,92.2756199253895,704,7.724380074610489,0,0.0,0.08497321810809871,0.02706209383904934,-0.0037078616132930576,0.5735979441553356,0.0
0,v1_to_gnn,9114,8489,93.14241825762564,625,6.857581742374369,0,0.0,0.10914841681104136,0.029376434162259102,-0.001347167171479668,0.6626333232969049,0.0
1,v1_to_v2,9275,5072,54.684636118598384,4203,45.315363881401616,0,0.0,0.019692708840685674,0.002944615320302546,-0.25801900327205657,0.33635599017143236,1.891559281771153e-19
1,v2_to_gnn,9275,8573,92.43126684636118,702,7.568733153638814,0,0.0,0.08387795261058846,0.02583502046763897,-0.0036685255443444425,0.5552005298435676,0.0
1,v1_to_gnn,9275,8625,92.99191374663073,650,7.008086253369272,0,0.0,0.10357066145127414,0.02863295190036297,-0.002022152004064991,0.6431872017681597,0.0
2,v1_to_v2,9263,5007,54.05376228003887,4256,45.94623771996113,0,0.0,0.023274719064709615,0.003115026280283928,-0.24655309580266474,0.3601507298648356,6.347076706225861e-15
2,v2_to_gnn,9263,8581,92.63737450070171,682,7.362625499298283,0,0.0,0.08836258771963407,0.02740391530096531,-0.0068282807245850455,0.6000177584588525,0.0
2,v1_to_gnn,9263,8650,93.38227356148116,613,6.617726438518838,0,0.0,0.11163730678434368,0.02923213317990303,-0.001759076226517208,0.6703162781894193,0.0
3,v1_to_v2,9274,5161,55.65020487384084,4113,44.34979512615916,0,0.0,0.023091553956390936,0.004248146899044514,-0.24548952393233775,0.3531862732023004,1.3801019562254541e-27
3,v2_to_gnn,9274,8527,91.94522320465819,747,8.054776795341816,0,0.0,0.09117423895940101,0.026530039496719837,-0.00465566162019968,0.6195859748870137,0.0
3,v1_to_gnn,9274,8657,93.34699158938969,617,6.653008410610308,0,0.0,0.11426579291579195,0.03163399547338486,-0.0012446200158592543,0.7123617798089985,0.0
4,v1_to_v2,9225,4948,53.636856368563684,4277,46.363143631436316,0,0.0,0.021554720649974237,0.002742771990597248,-0.2433447867631912,0.3499558202922339,2.977745189427986e-12
4,v2_to_gnn,9225,8480,91.92411924119241,745,8.075880758807589,0,0.0,0.09392368348830689,0.028145965188741684,-0.002520748099777847,0.5916748404502864,0.0
4,v1_to_gnn,9225,8633,93.58265582655827,592,6.417344173441735,0,0.0,0.11547840413828113,0.02968832105398178,-0.0010655142366886138,0.675705042481422,0.0
