fold,model,n_zero_gap,raw_mae,mean_raw_pred,median_raw_pred,q05_raw_pred,q25_raw_pred,q75_raw_pred,q95_raw_pred,iqr_raw_pred,negative_n,negative_pct,clipped_mae,clip_mae_gain
0,v1,9114,0.19043243655885533,0.1536829562442205,0.01746190246194601,-0.08916716687381265,-0.009587947744876146,0.11971750296652317,0.9431863456964493,0.12930545071139932,3064,33.61860873381611,,
0,v2,9114,0.16625723785591268,0.11238013480951296,0.010643289424479008,-0.1377942234277725,-0.014485202729701996,0.07915664650499821,0.808949646353722,0.0936418492347002,3547,38.91814790432302,,
0,gnn,9114,0.08128401974781396,0.07932678969862667,0.0006363168358802795,-0.00450550727546215,-0.0007147267460823059,0.002988087013363838,0.28904763907194225,0.003702813759446144,3377,37.05288567039719,0.08030540472322031,0.0009786150245936487
1,v1,9275,0.18913416958608134,0.15425289503842848,0.015966441482305527,-0.08705977872014044,-0.01134728267788887,0.11401404440402985,0.9370474934577939,0.12536132708191872,3214,34.65229110512129,,
1,v2,9275,0.16944146074539568,0.11888624747212939,0.009748253040015697,-0.1337323248386383,-0.014612901024520397,0.07794325053691864,0.8514779031276699,0.09255615156143904,3595,38.76010781671159,,
1,gnn,9275,0.08556350813480722,0.08377345276248423,0.0005071535706520081,-0.00395398736000061,-0.000848475843667984,0.0032327398657798767,0.3440118402242643,0.004081215709447861,3727,40.18328840970351,0.08466848044864572,0.0008950276861614953
2,v1,9263,0.1981205719131375,0.1612655086660311,0.01619340106844902,-0.08446100130677223,-0.010975406970828772,0.1377536803483963,0.9777855932712555,0.14872908731922507,3215,34.70797797689734,,
2,v2,9263,0.17484585284842788,0.1241648034191795,0.01229440700262785,-0.12660688906908035,-0.011916471645236015,0.09088160842657089,0.8551463186740867,0.10279808007180691,3465,37.40688761740257,,
2,gnn,9263,0.08648326512879383,0.08474562969611735,0.00039636343717575073,-0.00398738756775856,-0.0006419233977794647,0.0027060210704803467,0.37362835407257033,0.0033479444682598114,3721,40.17057108927993,0.08561444741245558,0.0008688177163382466
3,v1,9274,0.1996225788345966,0.1621785721079431,0.017293617129325867,-0.08942261263728142,-0.011191858910024166,0.12786048278212547,0.978281319141388,0.13905234169214964,3181,34.30019409100712,,
3,v2,9274,0.17653102487820568,0.12437120905122855,0.010072756558656693,-0.12905364260077476,-0.014547804836183786,0.08850562945008278,0.8741961300373082,0.10305343428626657,3625,39.08777226655165,,
3,gnn,9274,0.08535678591880468,0.08226503845579812,-0.00021793320775032043,-0.006046962738037109,-0.0017091352492570877,0.0019320528954267502,0.33878401219844906,0.003641188144683838,5030,54.23765365538063,0.0838109121873014,0.0015458737315032778
4,v1,9225,0.19543922244918285,0.16029549365092208,0.016415826976299286,-0.08797836303710936,-0.011400722898542881,0.12508197128772736,0.9861478686332689,0.13648269418627024,3205,34.74254742547426,,
4,v2,9225,0.1738845017992086,0.12491742224956613,0.011909146793186665,-0.12635404169559478,-0.013590755872428417,0.08570228517055511,0.8547373175621011,0.09929304104298353,3470,37.61517615176152,,
4,gnn,9225,0.07996081831090172,0.07751393527923238,0.0005652755498886108,-0.005529177188873291,-0.001037299633026123,0.003077574074268341,0.2910231709480267,0.004114873707294464,3732,40.45528455284553,0.07873737679506705,0.0012234415158346723
