official_fold,split,feature_family,path,size_bytes,sha256
0,train,ElementProperty,${HOME}/material_projects_structure/matbench_cache/fold_0_train_ElementProperty.pkl,89648575,a1536772ebb5436078ae60cae4b0abb7e5232903f399409597254010a1bc56fa
0,train,BandCenter,${HOME}/material_projects_structure/matbench_cache/fold_0_train_BandCenter.pkl,679832,d5bfc1c4b5eb4d7be20669699abc55e2685ba2d40e35044d0e9a842f590443d1
0,test,ElementProperty,${HOME}/material_projects_structure/matbench_cache/fold_0_test_ElementProperty.pkl,22416219,5c491f96b66141e1c3714cc9231459eb50008843483f106e8711389d34fe4083
0,test,BandCenter,${HOME}/material_projects_structure/matbench_cache/fold_0_test_BandCenter.pkl,170492,6e22a0c8c0898a434297838d101e5ec1246d06699433632d35277c7ed2188990
1,train,ElementProperty,${HOME}/material_projects_structure/matbench_cache/fold_1_train_ElementProperty.pkl,89648575,678262682698176dd668e692ad7baba14830e746bfa2210bfa3ecb6f3e749b90
1,train,BandCenter,${HOME}/material_projects_structure/matbench_cache/fold_1_train_BandCenter.pkl,679832,cc6e65bd709a6fecf35a204aad1e6faabe661aa0a1f7bd291d3c7bf18b73f358
1,test,ElementProperty,${HOME}/material_projects_structure/matbench_cache/fold_1_test_ElementProperty.pkl,22416219,f05619cfd5e54920c55d1310b0084ac57b635797fedb1f4c97bc775a6de8f318
1,test,BandCenter,${HOME}/material_projects_structure/matbench_cache/fold_1_test_BandCenter.pkl,170492,b95c004cef1776f69225cd1f0d7104a8a8edb1a4818208821a2a62550a51b454
2,train,ElementProperty,${HOME}/material_projects_structure/matbench_cache/fold_2_train_ElementProperty.pkl,89648575,5eabb3cb59b010e8d997e1d6966c6739eb3cf0292f40b157a9a92ca3ba4eb106
2,train,BandCenter,${HOME}/material_projects_structure/matbench_cache/fold_2_train_BandCenter.pkl,679832,37c1db316f78961487769161b3fcc24268daac489aaa96a1458061f2d96c7816
2,test,ElementProperty,${HOME}/material_projects_structure/matbench_cache/fold_2_test_ElementProperty.pkl,22416219,5e5e11563910d2fb317da70d8a75a298e396461822ff03b65b58ad4ed330b623
2,test,BandCenter,${HOME}/material_projects_structure/matbench_cache/fold_2_test_BandCenter.pkl,170492,0cf0dfe0c63556c2d4fe639327e1afa4096b61121bb7e3f26276df28571e2833
3,train,ElementProperty,${HOME}/material_projects_structure/matbench_cache/fold_3_train_ElementProperty.pkl,89649631,4840a71143cbd5b0545e8e15dda64573a47a37c73284d0fc1699e57c4483045a
3,train,BandCenter,${HOME}/material_projects_structure/matbench_cache/fold_3_train_BandCenter.pkl,679840,4e52157e0959668630b41ae599ce1c16fd9e6d12516b20588f791c9e405fb58a
3,test,ElementProperty,${HOME}/material_projects_structure/matbench_cache/fold_3_test_ElementProperty.pkl,22415163,01522471f0285897a4a7e60953df23b499b207c137146f092e5c0b2af5de261b
3,test,BandCenter,${HOME}/material_projects_structure/matbench_cache/fold_3_test_BandCenter.pkl,170484,f86ee137c4088f831592ce61520345e4fddbdf2454a0340ab93e030d866ac116
4,train,ElementProperty,${HOME}/material_projects_structure/matbench_cache/fold_4_train_ElementProperty.pkl,89649631,c87c4d36d6da199e96818e76a5b73fd0fbfb485d27b4d085aea4272bb9750539
4,train,BandCenter,${HOME}/material_projects_structure/matbench_cache/fold_4_train_BandCenter.pkl,679840,929e02e86d9026668828b7942904359b3f74304585279c32a20576c857643f8d
4,test,ElementProperty,${HOME}/material_projects_structure/matbench_cache/fold_4_test_ElementProperty.pkl,22415163,e0a8f982ecaf754b7c1766b3206eeefa6ae108e135b54e2bac9c2a560ad7cf69
4,test,BandCenter,${HOME}/material_projects_structure/matbench_cache/fold_4_test_BandCenter.pkl,170484,140481cb9041819110cc3a9387d04e5ad8122bf2052a9723686cb85c6468754f
