position_1_based,feature_name,source_family
1,MagpieData minimum Number,ElementProperty
2,MagpieData maximum Number,ElementProperty
3,MagpieData range Number,ElementProperty
4,MagpieData mean Number,ElementProperty
5,MagpieData avg_dev Number,ElementProperty
6,MagpieData mode Number,ElementProperty
7,MagpieData minimum MendeleevNumber,ElementProperty
8,MagpieData maximum MendeleevNumber,ElementProperty
9,MagpieData range MendeleevNumber,ElementProperty
10,MagpieData mean MendeleevNumber,ElementProperty
11,MagpieData avg_dev MendeleevNumber,ElementProperty
12,MagpieData mode MendeleevNumber,ElementProperty
13,MagpieData minimum AtomicWeight,ElementProperty
14,MagpieData maximum AtomicWeight,ElementProperty
15,MagpieData range AtomicWeight,ElementProperty
16,MagpieData mean AtomicWeight,ElementProperty
17,MagpieData avg_dev AtomicWeight,ElementProperty
18,MagpieData mode AtomicWeight,ElementProperty
19,MagpieData minimum MeltingT,ElementProperty
20,MagpieData maximum MeltingT,ElementProperty
21,MagpieData range MeltingT,ElementProperty
22,MagpieData mean MeltingT,ElementProperty
23,MagpieData avg_dev MeltingT,ElementProperty
24,MagpieData mode MeltingT,ElementProperty
25,MagpieData minimum Column,ElementProperty
26,MagpieData maximum Column,ElementProperty
27,MagpieData range Column,ElementProperty
28,MagpieData mean Column,ElementProperty
29,MagpieData avg_dev Column,ElementProperty
30,MagpieData mode Column,ElementProperty
31,MagpieData minimum Row,ElementProperty
32,MagpieData maximum Row,ElementProperty
33,MagpieData range Row,ElementProperty
34,MagpieData mean Row,ElementProperty
35,MagpieData avg_dev Row,ElementProperty
36,MagpieData mode Row,ElementProperty
37,MagpieData minimum CovalentRadius,ElementProperty
38,MagpieData maximum CovalentRadius,ElementProperty
39,MagpieData range CovalentRadius,ElementProperty
40,MagpieData mean CovalentRadius,ElementProperty
41,MagpieData avg_dev CovalentRadius,ElementProperty
42,MagpieData mode CovalentRadius,ElementProperty
43,MagpieData minimum Electronegativity,ElementProperty
44,MagpieData maximum Electronegativity,ElementProperty
45,MagpieData range Electronegativity,ElementProperty
46,MagpieData mean Electronegativity,ElementProperty
47,MagpieData avg_dev Electronegativity,ElementProperty
48,MagpieData mode Electronegativity,ElementProperty
49,MagpieData minimum NsValence,ElementProperty
50,MagpieData maximum NsValence,ElementProperty
51,MagpieData range NsValence,ElementProperty
52,MagpieData mean NsValence,ElementProperty
53,MagpieData avg_dev NsValence,ElementProperty
54,MagpieData mode NsValence,ElementProperty
55,MagpieData minimum NpValence,ElementProperty
56,MagpieData maximum NpValence,ElementProperty
57,MagpieData range NpValence,ElementProperty
58,MagpieData mean NpValence,ElementProperty
59,MagpieData avg_dev NpValence,ElementProperty
60,MagpieData mode NpValence,ElementProperty
61,MagpieData minimum NdValence,ElementProperty
62,MagpieData maximum NdValence,ElementProperty
63,MagpieData range NdValence,ElementProperty
64,MagpieData mean NdValence,ElementProperty
65,MagpieData avg_dev NdValence,ElementProperty
66,MagpieData mode NdValence,ElementProperty
67,MagpieData minimum NfValence,ElementProperty
68,MagpieData maximum NfValence,ElementProperty
69,MagpieData range NfValence,ElementProperty
70,MagpieData mean NfValence,ElementProperty
71,MagpieData avg_dev NfValence,ElementProperty
72,MagpieData mode NfValence,ElementProperty
73,MagpieData minimum NValence,ElementProperty
74,MagpieData maximum NValence,ElementProperty
75,MagpieData range NValence,ElementProperty
76,MagpieData mean NValence,ElementProperty
77,MagpieData avg_dev NValence,ElementProperty
78,MagpieData mode NValence,ElementProperty
79,MagpieData minimum NsUnfilled,ElementProperty
80,MagpieData maximum NsUnfilled,ElementProperty
81,MagpieData range NsUnfilled,ElementProperty
82,MagpieData mean NsUnfilled,ElementProperty
83,MagpieData avg_dev NsUnfilled,ElementProperty
84,MagpieData mode NsUnfilled,ElementProperty
85,MagpieData minimum NpUnfilled,ElementProperty
86,MagpieData maximum NpUnfilled,ElementProperty
87,MagpieData range NpUnfilled,ElementProperty
88,MagpieData mean NpUnfilled,ElementProperty
89,MagpieData avg_dev NpUnfilled,ElementProperty
90,MagpieData mode NpUnfilled,ElementProperty
91,MagpieData minimum NdUnfilled,ElementProperty
92,MagpieData maximum NdUnfilled,ElementProperty
