model,features,official_fold,n_samples,mae,rmse,r2
Level 1,132,0,21223,0.3384322778590429,0.5857142427440535,0.8636699313591341
Level 1 + BandCenter,133,0,21223,0.3392535531062511,0.5866132677852335,0.8632510984206196
Level 2,283,0,21223,0.28452139306104157,0.4982173877536383,0.9013589141622635
Level 3,N/A,0,21223,0.17744028777062335,0.46457796732150597,0.9142296262335239
Level 1,132,1,21223,0.3304533150850788,0.5800600624747306,0.8667069068980785
Level 1 + BandCenter,133,1,21223,0.33133768399184754,0.5815043697157877,0.8660423003594062
Level 2,283,1,21223,0.28165350163771025,0.49228928241244707,0.9039930931736253
Level 3,N/A,1,21223,0.17877570450324082,0.46596771234130197,0.9139851640328363
Level 1,132,2,21223,0.3354562411043906,0.5804567873554024,0.8677880541295516
Level 1 + BandCenter,133,2,21223,0.33668251979419755,0.5815940147385047,0.867269488972463
Level 2,283,2,21223,0.2834076446756544,0.4892884144676639,0.9060577896246199
Level 3,N/A,2,21223,0.18166390482356878,0.473956342632875,0.9118529893587985
Level 1,132,3,21222,0.33987692819586157,0.586560787559112,0.867471704760572
Level 1 + BandCenter,133,3,21222,0.3394135103164341,0.5856201756063063,0.867896410094988
Level 2,283,3,21222,0.287934818405387,0.5038733037441957,0.9022030620765275
Level 3,N/A,3,21222,0.17637619006932456,0.4616661561758582,0.9179008547477187
Level 1,132,4,21222,0.34560937032290917,0.6030891207004261,0.8599902696901099
Level 1 + BandCenter,133,4,21222,0.34569833221704976,0.604914344598538,0.8591415201396251
Level 2,283,4,21222,0.28996994812768806,0.5098517081091546,0.8999348183852535
Level 3,N/A,4,21222,0.18439075955579254,0.4828038586697676,0.9102702008721476
