model,official_fold,source_type,path,size_bytes,sha256,npz_keys
Level 1,0,legacy_clipped_npy_bound_to_official_test_order,${HOME}/material_projects_structure/outputs_v1_run0709/predictions_xgb/pred_fold_0.npy,85020,b6b18988c3b1adaa3ef41c2583c4ded70dbe2a3b940755b96a5f917abb2abd42,
Level 1,1,legacy_clipped_npy_bound_to_official_test_order,${HOME}/material_projects_structure/outputs_v1_run0709/predictions_xgb/pred_fold_1.npy,85020,b8e844983ad9e4a8d29292c09dcaa5b43285d526d5d2f8bb65f070da129e6103,
Level 1,2,legacy_clipped_npy_bound_to_official_test_order,${HOME}/material_projects_structure/outputs_v1_run0709/predictions_xgb/pred_fold_2.npy,85020,0830e8bf36472c0159004796ba3d56b5f2e1163741b5be14e4ccd528f2da03a4,
Level 1,3,legacy_clipped_npy_bound_to_official_test_order,${HOME}/material_projects_structure/outputs_v1_run0709/predictions_xgb/pred_fold_3.npy,85016,297ef6cddff778fe30a45b9f5f8a99045f8f5cb4cdff2d69b0059bc442a1a526,
Level 1,4,legacy_clipped_npy_bound_to_official_test_order,${HOME}/material_projects_structure/outputs_v1_run0709/predictions_xgb/pred_fold_4.npy,85016,e5539f2caaaaf13a5e29512c6dcdc4ce9014949c27c3fac83fe8df92b0b2c2c1,
Level 1 + BandCenter,all,combined_csv,${HOME}/material_projects_structure/matbench_outputs_l1_plus_bandcenter_run0731/l1_plus_bandcenter_predictions.csv,23710778,b770fe03c3159741eca85dd9bbc5e42536a8bb976468d54ad03782c2707714c3,
Level 1 + BandCenter,all,training_config,${HOME}/material_projects_structure/matbench_outputs_l1_plus_bandcenter_run0731/l1_plus_bandcenter_config.json,14271,39730b299b5646634b5d463ce3db714a61ff1b0a93b81fd604707d4a058673ea,
Level 2,0,legacy_clipped_npy_bound_to_official_test_order,${HOME}/material_projects_structure/matbench_outputs_v2_run0709/predictions_xgb/pred_fold_0.npy,85020,4ee57cb69d9927e46465e1fdcdd3fc7c0804f0c9413f337c03449adfc783a92f,
Level 2,1,legacy_clipped_npy_bound_to_official_test_order,${HOME}/material_projects_structure/matbench_outputs_v2_run0709/predictions_xgb/pred_fold_1.npy,85020,cb65c1fb8e3ae2088a3502f52f7e740e0bd9fdee3f35e619ab6f4aa9ed6fbfd3,
Level 2,2,legacy_clipped_npy_bound_to_official_test_order,${HOME}/material_projects_structure/matbench_outputs_v2_run0709/predictions_xgb/pred_fold_2.npy,85020,75605a1468fd61b1d6e381462ec5f38bd00b5f60effea65fa253ecce4dbabdbd,
Level 2,3,legacy_clipped_npy_bound_to_official_test_order,${HOME}/material_projects_structure/matbench_outputs_v2_run0709/predictions_xgb/pred_fold_3.npy,85016,b2e8bbb520347c684196ac4759b0c1fd02d512156fe08882c9589f8bfcd2ff05,
Level 2,4,legacy_clipped_npy_bound_to_official_test_order,${HOME}/material_projects_structure/matbench_outputs_v2_run0709/predictions_xgb/pred_fold_4.npy,85016,3d02b1c0f63978ee72c369645cf0faf9ddc26c4ab470c19c75234e5b6defbddd,
Level 3,0,clipped_npz_aligned_by_explicit_sample_id,${HOME}/material_projects_structure/results_v4/fold_0/test_preds_clipped.npz,1528558,a4cfe70ce0a062fb7e5ef9d0d535436f4bc1c3c00eb0fdf0408eac1643a24ea6,"ids,preds"
Level 3,1,clipped_npz_aligned_by_explicit_sample_id,${HOME}/material_projects_structure/results_v4/fold_1/test_preds_clipped.npz,1528558,9c58c60c70f8571dcf3b3a739ecce781c584f7173c229d7e81e27d3069ef6661,"ids,preds"
Level 3,2,clipped_npz_aligned_by_explicit_sample_id,${HOME}/material_projects_structure/results_v4/fold_2/test_preds_clipped.npz,1528558,557c78b09d1aa206d975963102b8a5bf274b6a829c1bade782800d3ff7730d4b,"ids,preds"
Level 3,3,clipped_npz_aligned_by_explicit_sample_id,${HOME}/material_projects_structure/results_v4/fold_3/test_preds_clipped.npz,1528486,2524f288aab2a1a7a76562123d9b7b10b17269edb0a066dd472d91415fbabb07,"ids,preds"
Level 3,4,clipped_npz_aligned_by_explicit_sample_id,${HOME}/material_projects_structure/results_v4/fold_4/test_preds_clipped.npz,1528486,93f88a812ee34018f916d19637a7f57b5291c9ce50b4a1de2e6531e8db5703ae,"ids,preds"
