bin,RF_v1v2_ΔMAE,RF_v1v2_ΔRMSE,RF_v1v2_ΔMedianAE,RF_v1v2_ΔP90AE,RF_v1v2_ΔP95AE,RF_v1v2_ΔBias,RF_v1v2_MAE_improvement_%,RF_v1v2_RMSE_improvement_%,XGB_v1v2_ΔMAE,XGB_v1v2_ΔRMSE,XGB_v1v2_ΔMedianAE,XGB_v1v2_ΔP90AE,XGB_v1v2_ΔP95AE,XGB_v1v2_ΔBias,XGB_v1v2_MAE_improvement_%,XGB_v1v2_RMSE_improvement_%,RFv2_ALIGNN_ΔMAE,RFv2_ALIGNN_ΔRMSE,RFv2_ALIGNN_ΔMedianAE,RFv2_ALIGNN_ΔP90AE,RFv2_ALIGNN_ΔP95AE,RFv2_ALIGNN_ΔBias,RFv2_ALIGNN_MAE_improvement_%,RFv2_ALIGNN_RMSE_improvement_%,XGBv2_ALIGNN_ΔMAE,XGBv2_ALIGNN_ΔRMSE,XGBv2_ALIGNN_ΔMedianAE,XGBv2_ALIGNN_ΔP90AE,XGBv2_ALIGNN_ΔP95AE,XGBv2_ALIGNN_ΔBias,XGBv2_ALIGNN_MAE_improvement_%,XGBv2_ALIGNN_RMSE_improvement_%
zero gap (0),0.0173,-0.0068,0.0001,0.1193,0.0745,0.0173,-10.2067,1.4284,-0.0302,-0.0620,-0.0063,-0.0871,-0.1156,-0.0302,17.1394,13.5412,-0.1045,-0.0490,-0.0025,-0.5850,-0.7215,-0.1045,55.8429,10.4794,-0.0636,0.0226,-0.0100,-0.4035,-0.5162,-0.0636,43.4801,-5.7190
"(0,0.5]",0.0040,-0.0694,0.0360,-0.0377,-0.1776,0.0269,-0.8849,8.5296,-0.0773,-0.1552,-0.0333,-0.1724,-0.3274,-0.0794,16.8045,19.6082,-0.1668,-0.0509,-0.1279,-0.6378,-0.3534,-0.2474,36.1471,6.8395,-0.0881,0.0573,-0.0846,-0.4530,-0.1395,-0.1351,23.0104,-9.0013
"(0.5,1]",-0.0429,-0.0636,-0.0440,-0.0114,-0.0728,0.0471,11.2931,10.8795,-0.0697,-0.1079,-0.0668,-0.0874,-0.1830,-0.0073,17.6819,18.3545,-0.0868,-0.1114,-0.0720,-0.1726,-0.3479,-0.1636,25.7939,21.4020,-0.0746,-0.0706,-0.0770,-0.1089,-0.2083,-0.0989,22.9891,14.7205
"(1,2]",-0.0199,-0.0371,-0.0070,-0.0614,-0.0596,0.0060,5.3987,7.2078,-0.0508,-0.0687,-0.0436,-0.0893,-0.0871,0.0376,12.5906,12.5958,-0.0968,-0.0740,-0.1137,-0.1584,-0.0813,0.0201,27.8119,15.4968,-0.1014,-0.0732,-0.1190,-0.1729,-0.0908,0.0145,28.7436,15.3569
"(2,3]",0.0127,-0.0006,0.0251,-0.0105,-0.0505,-0.0331,-2.9283,0.0977,-0.0674,-0.0873,-0.0542,-0.1490,-0.1947,0.0695,14.4331,13.9803,-0.2057,-0.1612,-0.2157,-0.4556,-0.4157,0.2405,46.1130,27.1999,-0.1592,-0.1057,-0.1718,-0.3617,-0.3002,0.1464,39.8323,19.6804
"(3,5]",0.0503,0.0471,0.0639,0.0500,0.0660,-0.0849,-9.3893,-6.3421,-0.0751,-0.0921,-0.0648,-0.1649,-0.1942,0.0712,14.2722,12.9787,-0.3464,-0.2861,-0.3128,-0.8259,-0.9367,0.4032,59.0596,36.2366,-0.2112,-0.1143,-0.2013,-0.5185,-0.5774,0.2089,46.7909,18.4988
"(5,8]",-0.0249,-0.0326,-0.0184,-0.0282,-0.0500,-0.0058,4.2204,3.6462,-0.0975,-0.1436,-0.0686,-0.2186,-0.2146,0.0950,17.5929,17.5882,-0.3081,-0.2716,-0.2415,-0.7875,-0.9572,0.3617,54.6277,31.5026,-0.2006,-0.0823,-0.1782,-0.5214,-0.5738,0.1909,43.9424,12.2337
8+,-0.1246,0.0045,-0.6197,0.5583,0.0310,0.2197,8.2549,-0.2506,-0.8054,-0.7893,-1.3780,-0.5762,-1.0583,0.9056,51.6304,42.1425,-0.4275,-0.2603,-0.4659,-0.4099,-0.0350,0.4080,30.8806,14.4024,0.2023,0.4636,0.0120,0.6345,0.8134,-0.2620,-26.8131,-42.7846
ALL,0.0098,-0.0128,0.0160,0.0354,-0.0152,-0.0009,-2.9930,2.1477,-0.0525,-0.0885,-0.0349,-0.1176,-0.1662,0.0035,15.5247,15.0665,-0.1582,-0.1147,-0.1174,-0.5002,-0.5570,0.0129,46.8072,19.6171,-0.1058,-0.0289,-0.0898,-0.3477,-0.3614,0.0039,37.0469,5.7950
ALL non-metal,0.0040,-0.0164,0.0124,0.0085,-0.0313,-0.0149,-0.8972,2.4207,-0.0696,-0.1047,-0.0513,-0.1348,-0.1931,0.0294,15.0503,15.6215,-0.1994,-0.1548,-0.1743,-0.5109,-0.5454,0.1032,43.9398,23.4299,-0.1382,-0.0595,-0.1393,-0.3522,-0.3356,0.0558,35.2034,10.5246
ALL metal,0.0173,-0.0068,0.0001,0.1193,0.0745,0.0173,-10.2067,1.4284,-0.0302,-0.0620,-0.0063,-0.0871,-0.1156,-0.0302,17.1394,13.5412,-0.1045,-0.0490,-0.0025,-0.5850,-0.7215,-0.1045,55.8429,10.4794,-0.0636,0.0226,-0.0100,-0.4035,-0.5162,-0.0636,43.4801,-5.7190
