bin,v1_n,v1_MAE,v1_RMSE,v1_MedianAE,v1_P90AE,v1_P95AE,v1_Bias,v2_n,v2_MAE,v2_RMSE,v2_MedianAE,v2_P90AE,v2_P95AE,v2_Bias,v3_n,v3_MAE,v3_RMSE,v3_MedianAE,v3_P90AE,v3_P95AE,v3_Bias
zero gap (0),46151,0.1698,0.4743,0.0027,0.5163,0.9788,0.1698,46151,0.1871,0.4675,0.0028,0.6356,1.0533,0.1871,46151,0.0826,0.4185,0.0004,0.0506,0.3318,0.0826
"(0,0.5]",10486,0.4573,0.8139,0.1994,1.2412,1.8160,0.3946,10486,0.4614,0.7445,0.2354,1.2035,1.6384,0.4216,10486,0.2946,0.6936,0.1075,0.5657,1.2850,0.1742
"(0.5,1]",7274,0.3796,0.5841,0.2624,0.7817,1.1686,0.1056,7274,0.3367,0.5206,0.2184,0.7703,1.0958,0.1527,7274,0.2499,0.4092,0.1464,0.5977,0.7480,-0.0109
"(1,2]",12921,0.3680,0.5145,0.2689,0.8168,1.0232,-0.0798,12921,0.3481,0.4774,0.2619,0.7554,0.9636,-0.0738,12921,0.2513,0.4034,0.1482,0.5970,0.8823,-0.0538
"(2,3]",12020,0.4335,0.5934,0.3200,0.9933,1.2732,-0.2681,12020,0.4462,0.5928,0.3451,0.9829,1.2227,-0.3011,12020,0.2404,0.4315,0.1294,0.5273,0.8070,-0.0607
"(3,5]",13920,0.5362,0.7424,0.3746,1.2650,1.5764,-0.4252,13920,0.5866,0.7895,0.4385,1.3150,1.6424,-0.5100,13920,0.2401,0.5034,0.1258,0.4892,0.7058,-0.1069
"(5,8]",3318,0.5888,0.8947,0.3767,1.3401,1.8387,-0.5237,3318,0.5640,0.8621,0.3583,1.3120,1.7887,-0.5295,3318,0.2559,0.5905,0.1168,0.5244,0.8314,-0.1678
8+,23,1.5089,1.8031,1.5297,2.6246,3.2834,-1.5089,23,1.3843,1.8076,0.9100,3.1829,3.3144,-1.2891,23,0.9568,1.5473,0.4442,2.7730,3.2795,-0.8811
ALL,106113,0.3281,0.5974,0.1390,0.9024,1.2946,0.0075,106113,0.3379,0.5845,0.1549,0.9378,1.2794,0.0067,106113,0.1797,0.4699,0.0375,0.4376,0.7224,0.0195
ALL non-metal,59962,0.4499,0.6770,0.2917,1.0515,1.4126,-0.1174,59962,0.4539,0.6606,0.3040,1.0600,1.3812,-0.1322,59962,0.2545,0.5058,0.1297,0.5491,0.8359,-0.0290
ALL metal,46151,0.1698,0.4743,0.0027,0.5163,0.9788,0.1698,46151,0.1871,0.4675,0.0028,0.6356,1.0533,0.1871,46151,0.0826,0.4185,0.0004,0.0506,0.3318,0.0826
