bin,v1_n,v1_MAE,v1_RMSE,v1_MedianAE,v1_P90AE,v1_P95AE,v1_Bias,v2_n,v2_MAE,v2_RMSE,v2_MedianAE,v2_P90AE,v2_P95AE,v2_Bias,v3_n,v3_MAE,v3_RMSE,v3_MedianAE,v3_P90AE,v3_P95AE,v3_Bias
zero gap (0),46151,0.1765,0.4579,0.0167,0.5412,0.9636,0.1765,46151,0.1462,0.3959,0.0104,0.4541,0.8480,0.1462,46151,0.0826,0.4185,0.0004,0.0506,0.3318,0.0826
"(0,0.5]",10486,0.4600,0.7915,0.2254,1.1911,1.7519,0.3887,10486,0.3827,0.6363,0.1921,1.0187,1.4245,0.3093,10486,0.2946,0.6936,0.1075,0.5657,1.2850,0.1742
"(0.5,1]",7274,0.3941,0.5877,0.2902,0.7939,1.1392,0.0953,7274,0.3244,0.4798,0.2234,0.7066,0.9563,0.0880,7274,0.2499,0.4092,0.1464,0.5977,0.7480,-0.0109
"(1,2]",12921,0.4035,0.5453,0.3108,0.8593,1.0602,-0.1059,12921,0.3527,0.4766,0.2672,0.7699,0.9731,-0.0683,12921,0.2513,0.4034,0.1482,0.5970,0.8823,-0.0538
"(2,3]",12020,0.4670,0.6246,0.3554,1.0380,1.3019,-0.2767,12020,0.3996,0.5373,0.3012,0.8889,1.1072,-0.2071,12020,0.2404,0.4315,0.1294,0.5273,0.8070,-0.0607
"(3,5]",13920,0.5265,0.7098,0.3919,1.1726,1.4774,-0.3869,13920,0.4513,0.6176,0.3271,1.0077,1.2831,-0.3157,13920,0.2401,0.5034,0.1258,0.4892,0.7058,-0.1069
"(5,8]",3318,0.5539,0.8164,0.3636,1.2645,1.6199,-0.4537,3318,0.4565,0.6728,0.2949,1.0459,1.4052,-0.3587,3318,0.2559,0.5905,0.1168,0.5244,0.8314,-0.1678
8+,23,1.5599,1.8729,1.8102,2.7148,3.5244,-1.5247,23,0.7545,1.0836,0.4322,2.1386,2.4660,-0.6191,23,0.9568,1.5473,0.4442,2.7730,3.2795,-0.8811
ALL,106113,0.3380,0.5872,0.1623,0.9028,1.2500,0.0122,106113,0.2855,0.4988,0.1274,0.7852,1.0838,0.0156,106113,0.1797,0.4699,0.0375,0.4376,0.7224,0.0195
ALL non-metal,59962,0.4623,0.6700,0.3203,1.0360,1.3646,-0.1142,59962,0.3927,0.5653,0.2690,0.9012,1.1715,-0.0849,59962,0.2545,0.5058,0.1297,0.5491,0.8359,-0.0290
ALL metal,46151,0.1765,0.4579,0.0167,0.5412,0.9636,0.1765,46151,0.1462,0.3959,0.0104,0.4541,0.8480,0.1462,46151,0.0826,0.4185,0.0004,0.0506,0.3318,0.0826
