analysis,population,spread_definition,spread_bin,n_samples,n_formulas,n_formula_fold_groups,bound_definition,oracle_bound_eV,L1_MAE_eV,L2_MAE_eV,L3_MAE_eV,L2_minus_bound_eV,L2_relation,L2_undercut_percent,L2_above_bound_percent,L3_minus_bound_eV,L3_relation,L3_undercut_percent,L3_above_bound_percent
legacy_reproduction,global_repeated_formula_subset,global within-formula label spread,<0.1 eV,14218,5897,11742,global_fixed_function_oracle,0.006178956252637502,0.16493147873541456,0.17139265273271503,0.07901378919861834,0.16521369648007753,above_bound,,2673.8123677369567,0.07283483294598084,above_bound,,1178.7562489197285
legacy_reproduction,global_repeated_formula_subset,global within-formula label spread,0.1–0.5 eV,9535,3239,7054,global_fixed_function_oracle,0.10240652333508128,0.29563507887638946,0.31925627152204894,0.19223019699538074,0.21684974818696767,above_bound,,211.75384255299846,0.08982367366029946,above_bound,,87.71284361093886
legacy_reproduction,global_repeated_formula_subset,global within-formula label spread,0.5–1 eV,7116,1546,4038,global_fixed_function_oracle,0.2269765739179314,0.3341864488509778,0.3155622628184056,0.21719630990904942,0.08858568890047419,above_bound,,39.02856024802999,-0.00978026400888199,undercut,4.308931023171699,
legacy_reproduction,global_repeated_formula_subset,global within-formula label spread,>1 eV,8868,1106,3285,global_fixed_function_oracle,0.387668651330627,0.48900320503094213,0.36777262884196055,0.264614802034247,-0.019896022488666454,undercut,5.1322237225980745,,-0.12305384929638002,undercut,31.742017022529982,
fold_conditioned,global_repeated_formula_subset,global within-formula label spread,<0.1 eV,14218,5897,11742,fold_conditioned_oof_oracle,0.0015901884934589956,0.16493147873541456,0.17139265273271503,0.07901378919861834,0.16980246423925605,above_bound,,10678.13438078022,0.07742360070515934,above_bound,,4868.831652576398
fold_conditioned,global_repeated_formula_subset,global within-formula label spread,0.1–0.5 eV,9535,3239,7054,fold_conditioned_oof_oracle,0.03573471421080231,0.29563507887638946,0.31925627152204894,0.19223019699538074,0.2835215573112466,above_bound,,793.4065335984704,0.15649548278457842,above_bound,,437.9368528355857
fold_conditioned,global_repeated_formula_subset,global within-formula label spread,0.5–1 eV,7116,1546,4038,fold_conditioned_oof_oracle,0.11131010399100617,0.3341864488509778,0.3155622628184056,0.21719630990904942,0.20425215882739944,above_bound,,183.49830923157072,0.10588620591804325,above_bound,,95.1272185736156
fold_conditioned,global_repeated_formula_subset,global within-formula label spread,>1 eV,8868,1106,3285,fold_conditioned_oof_oracle,0.24697982634190346,0.48900320503094213,0.36777262884196055,0.264614802034247,0.12079280250005708,above_bound,,48.90796316814924,0.017634975692343513,above_bound,,7.140249450143654
fold_conditioned,same_fold_repeated_subset,global within-formula label spread,<0.1 eV,4493,1729,2017,fold_conditioned_oof_oracle,0.005032116625862452,0.16477313919783598,0.1630314699216552,0.08698499046040224,0.15799935329579276,above_bound,,3139.818987575896,0.0819528738345398,above_bound,,1628.5964719765202
fold_conditioned,same_fold_repeated_subset,global within-formula label spread,0.1–0.5 eV,4181,1244,1700,fold_conditioned_oof_oracle,0.08149497727816311,0.26783144552405447,0.28015648369328333,0.17545348376700592,0.1986615064151202,above_bound,,243.77147285658833,0.09395850648884281,above_bound,,115.29361640060159
fold_conditioned,same_fold_repeated_subset,global within-formula label spread,0.5–1 eV,4533,826,1455,fold_conditioned_oof_oracle,0.17473697330686078,0.2789087031384968,0.2725374914785736,0.17539785661393117,0.09780051817171281,above_bound,,55.970134036808815,0.0006608833070703979,above_bound,,0.37821606644736894
fold_conditioned,same_fold_repeated_subset,global within-formula label spread,>1 eV,7092,690,1509,fold_conditioned_oof_oracle,0.3088292583192329,0.4131744060174693,0.3253143612092451,0.22639270500024278,0.016485102890012204,above_bound,,5.337934294091967,-0.08243655331899014,undercut,26.69324589504292,
