population,formula_fold_group_size,n_groups,n_samples,fraction_of_groups,fraction_of_samples
global_repeated_formula_subset,1,19438,19438,0.7442091963704582,0.4891662682135038
global_repeated_formula_subset,2,4588,9176,0.17565756728818102,0.230918287741903
global_repeated_formula_subset,3,995,2985,0.03809487346376201,0.07511890681229082
global_repeated_formula_subset,4,435,1740,0.01665454267008691,0.04378790547852128
global_repeated_formula_subset,5,208,1040,0.007963551437650752,0.026172081435438005
global_repeated_formula_subset,6,145,870,0.005551514223362303,0.02189395273926064
global_repeated_formula_subset,7,72,504,0.0027566139591867988,0.012683393311019956
global_repeated_formula_subset,8,58,464,0.0022206056893449215,0.011676774794272341
global_repeated_formula_subset,9,28,252,0.0010720165396837552,0.006341696655509978
global_repeated_formula_subset,10,23,230,0.0008805850147402274,0.00578805647129879
global_repeated_formula_subset,11,22,242,0.0008422987097515219,0.006090042026323074
global_repeated_formula_subset,12,15,180,0.0005742945748305831,0.00452978332536427
global_repeated_formula_subset,13,14,182,0.0005360082698418776,0.004580114251201651
global_repeated_formula_subset,14,5,70,0.0001914315249435277,0.0017615824043083273
global_repeated_formula_subset,15,3,45,0.00011485891496611662,0.0011324458313410675
global_repeated_formula_subset,16,8,128,0.0003062904399096443,0.00322117925359237
global_repeated_formula_subset,17,10,170,0.0003828630498870554,0.004278128696177367
global_repeated_formula_subset,18,5,90,0.0001914315249435277,0.002264891662682135
global_repeated_formula_subset,19,1,19,3.828630498870554e-05,0.0004781437954551174
global_repeated_formula_subset,20,10,200,0.0003828630498870554,0.005033092583738078
global_repeated_formula_subset,21,3,63,0.00011485891496611662,0.0015854241638774945
global_repeated_formula_subset,22,4,88,0.00015314521995482216,0.0022145607368447544
global_repeated_formula_subset,23,3,69,0.00011485891496611662,0.0017364169413896368
global_repeated_formula_subset,24,2,48,7.657260997741108e-05,0.0012079422200971387
global_repeated_formula_subset,25,1,25,3.828630498870554e-05,0.0006291365729672598
global_repeated_formula_subset,26,1,26,3.828630498870554e-05,0.0006543020358859501
global_repeated_formula_subset,29,2,58,7.657260997741108e-05,0.0014595968492840427
global_repeated_formula_subset,32,2,64,7.657260997741108e-05,0.001610589626796185
global_repeated_formula_subset,35,1,35,3.828630498870554e-05,0.0008807912021541637
global_repeated_formula_subset,37,1,37,3.828630498870554e-05,0.0009311221279915444
global_repeated_formula_subset,38,1,38,3.828630498870554e-05,0.0009562875909102348
global_repeated_formula_subset,40,1,40,3.828630498870554e-05,0.0010066185167476155
global_repeated_formula_subset,42,1,42,3.828630498870554e-05,0.0010569494425849964
global_repeated_formula_subset,43,1,43,3.828630498870554e-05,0.0010821149055036867
global_repeated_formula_subset,45,3,135,0.00011485891496611662,0.0033973374940232024
global_repeated_formula_subset,46,1,46,3.828630498870554e-05,0.0011576112942597578
global_repeated_formula_subset,50,1,50,3.828630498870554e-05,0.0012582731459345195
global_repeated_formula_subset,51,1,51,3.828630498870554e-05,0.0012834386088532098
global_repeated_formula_subset,52,1,52,3.828630498870554e-05,0.0013086040717719002
global_repeated_formula_subset,124,1,124,3.828630498870554e-05,0.0031205174019176083
global_repeated_formula_subset,127,1,127,3.828630498870554e-05,0.0031960137906736795
global_repeated_formula_subset,134,1,134,3.828630498870554e-05,0.0033721720311045123
global_repeated_formula_subset,155,1,155,3.828630498870554e-05,0.0039006467523970104
global_repeated_formula_subset,162,1,162,3.828630498870554e-05,0.004076804992827843
same_fold_repeated_subset,2,4588,9176,0.6867235443795839,0.4520419725109611
same_fold_repeated_subset,3,995,2985,0.14892980092800479,0.1470515788955121
same_fold_repeated_subset,4,435,1740,0.06511001347103727,0.08571850830090152
same_fold_repeated_subset,5,208,1040,0.031133063912587935,0.051234050938469874
same_fold_repeated_subset,6,145,870,0.02170333782367909,0.04285925415045076
same_fold_repeated_subset,7,72,504,0.010776829815895825,0.024828809300950785
same_fold_repeated_subset,8,58,464,0.008681335129471637,0.022858268880240406
same_fold_repeated_subset,9,28,252,0.004190989372848376,0.012414404650475393
same_fold_repeated_subset,10,23,230,0.003442598413411166,0.011330607419084683
same_fold_repeated_subset,11,22,242,0.003292920221523724,0.011921769545297799
same_fold_repeated_subset,12,15,180,0.00224517287831163,0.00886743189319671
same_fold_repeated_subset,13,14,182,0.002095494686424188,0.008965958914232228
same_fold_repeated_subset,14,5,70,0.00074839095943721,0.0034484457362431646
same_fold_repeated_subset,15,3,45,0.000449034575662326,0.0022168579732991774
same_fold_repeated_subset,16,8,128,0.001197425535099536,0.006305729346273215
same_fold_repeated_subset,17,10,170,0.00149678191887442,0.008374796788019114
same_fold_repeated_subset,18,5,90,0.00074839095943721,0.004433715946598355
same_fold_repeated_subset,19,1,19,0.000149678191887442,0.0009360066998374304
same_fold_repeated_subset,20,10,200,0.00149678191887442,0.0098527021035519
same_fold_repeated_subset,21,3,63,0.000449034575662326,0.003103601162618848
same_fold_repeated_subset,22,4,88,0.000598712767549768,0.004335188925562836
same_fold_repeated_subset,23,3,69,0.000449034575662326,0.003399182225725405
same_fold_repeated_subset,24,2,48,0.000299356383774884,0.002364648504852456
same_fold_repeated_subset,25,1,25,0.000149678191887442,0.0012315877629439874
same_fold_repeated_subset,26,1,26,0.000149678191887442,0.001280851273461747
same_fold_repeated_subset,29,2,58,0.000299356383774884,0.0028572836100300507
same_fold_repeated_subset,32,2,64,0.000299356383774884,0.0031528646731366077
same_fold_repeated_subset,35,1,35,0.000149678191887442,0.0017242228681215823
same_fold_repeated_subset,37,1,37,0.000149678191887442,0.0018227498891571013
same_fold_repeated_subset,38,1,38,0.000149678191887442,0.0018720133996748608
same_fold_repeated_subset,40,1,40,0.000149678191887442,0.00197054042071038
same_fold_repeated_subset,42,1,42,0.000149678191887442,0.002069067441745899
same_fold_repeated_subset,43,1,43,0.000149678191887442,0.0021183309522636584
same_fold_repeated_subset,45,3,135,0.000449034575662326,0.006650573919897532
same_fold_repeated_subset,46,1,46,0.000149678191887442,0.002266121483816937
same_fold_repeated_subset,50,1,50,0.000149678191887442,0.002463175525887975
same_fold_repeated_subset,51,1,51,0.000149678191887442,0.0025124390364057343
same_fold_repeated_subset,52,1,52,0.000149678191887442,0.002561702546923494
same_fold_repeated_subset,124,1,124,0.000149678191887442,0.006108675304202177
same_fold_repeated_subset,127,1,127,0.000149678191887442,0.006256465835755456
same_fold_repeated_subset,134,1,134,0.000149678191887442,0.006601310409379772
same_fold_repeated_subset,155,1,155,0.000149678191887442,0.007635844130252722
same_fold_repeated_subset,162,1,162,0.000149678191887442,0.007980688703877038
