analysis,population,fold,bound_definition,n_samples,n_formulas,n_formula_fold_groups,n_size1_groups,n_size1_samples,n_size_ge2_groups,n_size_ge2_samples,oracle_bound_eV,L1_MAE_eV,L2_MAE_eV,L3_MAE_eV,L2_minus_bound_eV,L2_relation,L2_undercut_percent,L2_above_bound_percent,L3_minus_bound_eV,L3_relation,L3_undercut_percent,L3_above_bound_percent
legacy_reproduction,global_repeated_formula_subset,pooled,global_fixed_function_oracle,39737,11788,26119,19438,19438,6681,20299,0.15394492538440246,0.29892612512229033,0.276516043493539,0.17234582351283206,0.12257111810913651,above_bound,,79.62010946646981,0.0184008981284296,above_bound,,11.952909836087366
fold_conditioned,global_repeated_formula_subset,pooled,fold_conditioned_oof_oracle,39737,11788,26119,19438,19438,6681,20299,0.08419456929310215,0.29892612512229033,0.276516043493539,0.17234582351283206,0.19232147420043683,above_bound,,228.42503479163616,0.08815125421972991,above_bound,,104.6994538482091
fold_conditioned,same_fold_repeated_subset,pooled,fold_conditioned_oof_oracle,20299,4489,6681,0,0,6681,20299,0.1648179516232327,0.2982735616017857,0.2683076285160823,0.17365634394113558,0.1034896768928496,above_bound,,62.79029430569729,0.008838392317902871,above_bound,,5.362517996890949
fold_conditioned,global_repeated_formula_subset,0,fold_conditioned_oof_oracle,7933,5198,5198,3875,3875,1323,4058,0.08489553762763141,0.29727830217222906,0.27354602209964923,0.172092606582794,0.18865048447201782,above_bound,,222.21484160860857,0.08719706895516258,above_bound,,102.71101566919351
fold_conditioned,global_repeated_formula_subset,1,fold_conditioned_oof_oracle,7981,5137,5137,3807,3807,1330,4174,0.08957542914421751,0.2957120221813554,0.2769445681105168,0.17118211826686497,0.1873691389662993,above_bound,,209.17470422009674,0.08160668912264746,above_bound,,91.10387737161686
fold_conditioned,global_repeated_formula_subset,2,fold_conditioned_oof_oracle,8016,5298,5298,3941,3941,1357,4075,0.08423053892215569,0.2959913877977934,0.27601479800165296,0.17010692194909185,0.19178425907949725,above_bound,,227.6896972685177,0.08587638302693616,above_bound,,101.95397551273123
fold_conditioned,global_repeated_formula_subset,3,fold_conditioned_oof_oracle,7915,5320,5320,3986,3986,1334,3929,0.07760452305748577,0.2984725307435704,0.27998402086452473,0.1708165865608069,0.20237949780703895,above_bound,,260.7831216965611,0.09321206350332112,above_bound,,120.11163760941358
fold_conditioned,global_repeated_formula_subset,4,fold_conditioned_oof_oracle,7892,5166,5166,3829,3829,1337,4063,0.08462113532691333,0.30726862245315356,0.27609917422354835,0.17758495768468677,0.191478038896635,above_bound,,226.2768493437317,0.09296382235777344,above_bound,,109.85886918041237
fold_conditioned,same_fold_repeated_subset,0,fold_conditioned_oof_oracle,4058,1323,1323,0,0,1323,4058,0.16596261705273532,0.2931668817150111,0.2656190684575991,0.17264677039094603,0.09965645140486376,above_bound,,60.047529482616866,0.006684153338210708,above_bound,,4.0275053845932005
fold_conditioned,same_fold_repeated_subset,1,fold_conditioned_oof_oracle,4174,1330,1330,0,0,1330,4174,0.17127491614758025,0.3009564398214159,0.2677645979587498,0.17405246697452914,0.09648968181116954,above_bound,,56.33614307423074,0.002777550826948888,above_bound,,1.621691540958392
fold_conditioned,same_fold_repeated_subset,2,fold_conditioned_oof_oracle,4075,1357,1357,0,0,1357,4075,0.16569128834355829,0.2965435106262504,0.2669757219160605,0.16387310429551558,0.10128443357250222,above_bound,,61.12840004146177,-0.0018181840480427092,undercut,1.0973323137380242,
fold_conditioned,same_fold_repeated_subset,3,fold_conditioned_oof_oracle,3929,1334,1334,0,0,1334,3929,0.1563348943751591,0.2938052330888964,0.2754440225957115,0.1757177393792042,0.11910912822055239,above_bound,,76.18844704927136,0.019382845004045107,above_bound,,12.398284517039308
fold_conditioned,same_fold_repeated_subset,4,fold_conditioned_oof_oracle,4063,1337,1337,0,0,1337,4063,0.16436869308392812,0.30667390463507205,0.2659855545116168,0.1820764548948678,0.10161686142768869,above_bound,,61.822515906847435,0.017707761810939665,above_bound,,10.773196208293708
