reduced_formula,mbid,test_fold,y,global_formula_spread_eV,formula_fold_size,global_fixed_bound_ae,fold_conditioned_bound_ae,pred_L1,pred_L2,pred_L3
H2,mb-mp-gap-070206,0,6.2332,9.721200000000001,4,1.2500999999999998,1.5434,6.255698204040527,7.246641159057617,1.4083836078643799
H2,mb-mp-gap-070892,0,7.4833,9.721200000000001,4,0.0,0.29330000000000034,6.255698204040527,5.613128185272217,7.52781867980957
H2,mb-mp-gap-070895,0,8.0699,9.721200000000001,4,0.5866000000000007,0.29330000000000034,6.255698204040527,8.7561674118042,8.850275039672852
H2,mb-mp-gap-070422,0,8.2431,9.721200000000001,4,0.7598000000000003,0.4664999999999999,6.255698204040527,7.87885856628418,3.2436881065368652
H2,mb-mp-gap-070214,1,0.0,9.721200000000001,3,7.4833,1.6320000000000001,7.516180992126465,1.1266205310821533,2.886409282684326
H2,mb-mp-gap-070251,1,1.6320000000000001,9.721200000000001,3,5.8513,0.0,7.516180992126465,2.27877140045166,8.212780952453613
H2,mb-mp-gap-071074,1,9.3264,9.721200000000001,3,1.8430999999999997,7.6944,7.516180992126465,8.902284622192383,8.263893127441406
H2,mb-mp-gap-071113,2,0.0,9.721200000000001,6,7.4833,7.38655,6.8913421630859375,0.5433822274208069,0.17886671423912048
H2,mb-mp-gap-071041,2,6.593999999999999,9.721200000000001,6,0.8893000000000004,0.7925500000000003,6.8913421630859375,7.222124099731445,7.750600814819336
H2,mb-mp-gap-094887,2,7.3713,9.721200000000001,6,0.1120000000000001,0.015249999999999986,6.8913421630859375,7.201174259185791,7.176368713378906
H2,mb-mp-gap-070306,2,7.4018,9.721200000000001,6,0.08150000000000013,0.015249999999999986,6.8913421630859375,7.8851542472839355,7.143149375915527
H2,mb-mp-gap-071174,2,8.7958,9.721200000000001,6,1.3125,1.4092500000000001,6.8913421630859375,8.519523620605469,8.359126091003418
H2,mb-mp-gap-071075,2,8.8483,9.721200000000001,6,1.3650000000000002,1.4617500000000003,6.8913421630859375,8.53989315032959,8.727507591247559
H2,mb-mp-gap-070250,3,8.6454,9.721200000000001,1,1.1621000000000006,0.0,5.969977855682373,9.127364158630371,8.59176254272461
H2,mb-mp-gap-071076,4,7.4788,9.721200000000001,3,0.0045000000000001705,1.2646000000000015,6.01871919631958,6.9818267822265625,7.442371845245361
H2,mb-mp-gap-071154,4,8.743400000000001,9.721200000000001,3,1.2601000000000013,0.0,6.01871919631958,8.899513244628906,8.393780708312988
H2,mb-mp-gap-070249,4,9.721200000000001,9.721200000000001,3,2.2379000000000016,0.9778000000000002,6.01871919631958,8.822393417358398,6.659823417663574
N2,mb-mp-gap-071016,0,6.9553,7.340999999999999,1,4.931850000000001,0.0,2.288120746612549,5.96311092376709,6.734198570251465
N2,mb-mp-gap-071114,2,0.0,7.340999999999999,4,2.02345,1.9796999999999998,3.6345934867858887,1.1010468006134033,0.0
N2,mb-mp-gap-085648,2,0.0,7.340999999999999,4,2.02345,1.9796999999999998,3.6345934867858887,2.3458056449890137,0.10444243997335434
N2,mb-mp-gap-071185,2,3.9593999999999996,7.340999999999999,4,1.9359499999999996,1.9796999999999998,3.6345934867858887,2.2582616806030273,2.4193062782287598
N2,mb-mp-gap-070900,2,7.3311,7.340999999999999,4,5.307650000000001,5.3514,3.6345934867858887,7.018831729888916,7.217533588409424
N2,mb-mp-gap-070204,3,0.0,7.340999999999999,3,2.02345,0.0,4.732570648193359,1.5221635103225708,2.91762638092041
N2,mb-mp-gap-070244,3,0.0,7.340999999999999,3,2.02345,0.0,4.732570648193359,2.1216211318969727,0.0
N2,mb-mp-gap-070594,3,1.0556999999999999,7.340999999999999,3,0.9677500000000001,1.0556999999999999,4.732570648193359,2.9542243480682373,1.5065948963165283
N2,mb-mp-gap-070203,4,0.0,7.340999999999999,6,2.02345,4.77785,1.9313039779663086,0.9833334684371948,0.764693558216095
N2,mb-mp-gap-070320,4,0.27590000000000003,7.340999999999999,6,1.74755,4.50195,1.9313039779663086,1.631976842880249,3.378004789352417
N2,mb-mp-gap-071090,4,2.9912,7.340999999999999,6,0.9677500000000001,1.7866499999999998,1.9313039779663086,2.2096240520477295,1.447139024734497
N2,mb-mp-gap-071089,4,6.5645,7.340999999999999,6,4.54105,1.7866499999999998,1.9313039779663086,5.6105170249938965,4.803995609283447
N2,mb-mp-gap-071040,4,6.739,7.340999999999999,6,4.71555,1.96115,1.9313039779663086,5.306476593017578,5.099720001220703
N2,mb-mp-gap-070863,4,7.340999999999999,7.340999999999999,6,5.317549999999999,2.5631499999999994,1.9313039779663086,6.1175642013549805,5.031944751739502
SnH4,mb-mp-gap-000615,1,5.5238,5.5238,1,5.5238,0.0,0.18894168734550476,2.810316324234009,4.591858863830566
SnH4,mb-mp-gap-017219,4,0.0,5.5238,2,0.0,0.0,5.270642280578613,3.627805471420288,0.4747169613838196
