feature,Feature group,A_L1 = absolute mean(|SHAP|),A_L2 = absolute mean(|SHAP|),L1 denominator,transfer change (%),formula
MagpieData avg_dev AtomicWeight,Atomic size (comp),0.011806847528,0.004951813258,0.011806847528,-58.059818705667,100 * (A_L2 - A_L1) / A_L1
MagpieData avg_dev Column,Periodic position (comp),0.049661464989,0.043173048645,0.049661464989,-13.065293875926,100 * (A_L2 - A_L1) / A_L1
MagpieData avg_dev CovalentRadius,Atomic size (comp),0.034279689193,0.012390277348,0.034279689193,-63.855339297909,100 * (A_L2 - A_L1) / A_L1
MagpieData avg_dev Electronegativity,Ionicity,0.047484550625,0.048225849867,0.047484550625,1.561137742745,100 * (A_L2 - A_L1) / A_L1
MagpieData avg_dev GSbandgap,Band-gap prior (comp),0.059124231339,0.026997029781,0.059124231339,-54.338468052503,100 * (A_L2 - A_L1) / A_L1
MagpieData avg_dev GSmagmom,Magnetic moment (comp),0.015317378566,0.010583964176,0.015317378566,-30.902248507470,100 * (A_L2 - A_L1) / A_L1
MagpieData avg_dev GSvolume_pa,Atomic size (comp),0.027685424313,0.022597771138,0.027685424313,-18.376648728540,100 * (A_L2 - A_L1) / A_L1
MagpieData avg_dev MeltingT,Bond strength (comp),0.018770841882,0.009284188971,0.018770841882,-50.539304366481,100 * (A_L2 - A_L1) / A_L1
MagpieData avg_dev MendeleevNumber,Periodic position (comp),0.017863281071,0.007789974101,0.017863281071,-56.391135145641,100 * (A_L2 - A_L1) / A_L1
MagpieData avg_dev NUnfilled,Unfilled orbitals (comp),0.034818693995,0.020091814920,0.034818693995,-42.295897362156,100 * (A_L2 - A_L1) / A_L1
MagpieData avg_dev NValence,Valence total (comp),0.042894914746,0.017287272960,0.042894914746,-59.698549205195,100 * (A_L2 - A_L1) / A_L1
MagpieData avg_dev NdUnfilled,Unfilled orbitals (comp),0.024436747655,0.008728851564,0.024436747655,-64.279814616225,100 * (A_L2 - A_L1) / A_L1
MagpieData avg_dev NdValence,d/p electron count (comp),0.032022960484,0.016663046554,0.032022960484,-47.965315193010,100 * (A_L2 - A_L1) / A_L1
MagpieData avg_dev NfUnfilled,Unfilled orbitals (comp),0.003958980087,0.002805349650,0.003958980087,-29.139586760286,100 * (A_L2 - A_L1) / A_L1
MagpieData avg_dev NfValence,d/p electron count (comp),0.006429990288,0.001883663470,0.006429990288,-70.705033979928,100 * (A_L2 - A_L1) / A_L1
MagpieData avg_dev NpUnfilled,Unfilled orbitals (comp),0.035496346653,0.015467551537,0.035496346653,-56.424947929774,100 * (A_L2 - A_L1) / A_L1
MagpieData avg_dev NpValence,d/p electron count (comp),0.031121367589,0.011516612954,0.031121367589,-62.994515193986,100 * (A_L2 - A_L1) / A_L1
MagpieData avg_dev NsUnfilled,Unfilled orbitals (comp),0.007117358502,0.003958920483,0.007117358502,-44.376548105125,100 * (A_L2 - A_L1) / A_L1
MagpieData avg_dev NsValence,d/p electron count (comp),0.018863851205,0.013666900806,0.018863851205,-27.549784728697,100 * (A_L2 - A_L1) / A_L1
MagpieData avg_dev Number,Periodic position (comp),0.014634059742,0.005143899471,0.014634059742,-64.849812278872,100 * (A_L2 - A_L1) / A_L1
MagpieData avg_dev Row,Atomic size (comp),0.016684604809,0.009592724033,0.016684604809,-42.505536434972,100 * (A_L2 - A_L1) / A_L1
MagpieData avg_dev SpaceGroupNumber,Periodic position (comp),0.030244475231,0.020293449983,0.030244475231,-32.901960347172,100 * (A_L2 - A_L1) / A_L1
MagpieData maximum AtomicWeight,Atomic size (comp),0.017155859619,0.010238775983,0.017155859619,-40.319073420913,100 * (A_L2 - A_L1) / A_L1
MagpieData maximum Column,Periodic position (comp),0.023430913687,0.009950889274,0.023430913687,-57.530937941596,100 * (A_L2 - A_L1) / A_L1
MagpieData maximum CovalentRadius,Atomic size (comp),0.018305111676,0.013846864924,0.018305111676,-24.355201057606,100 * (A_L2 - A_L1) / A_L1
MagpieData maximum Electronegativity,Ionicity,0.143423110247,0.123360931873,0.143423110247,-13.988107173826,100 * (A_L2 - A_L1) / A_L1
MagpieData maximum GSbandgap,Band-gap prior (comp),0.011062895879,0.007084903773,0.011062895879,-35.957963897378,100 * (A_L2 - A_L1) / A_L1
MagpieData maximum GSmagmom,Magnetic moment (comp),0.025489602238,0.010127775371,0.025489602238,-60.267032507867,100 * (A_L2 - A_L1) / A_L1
MagpieData maximum GSvolume_pa,Atomic size (comp),0.030316084623,0.015791213140,0.030316084623,-47.911436004715,100 * (A_L2 - A_L1) / A_L1
