column position,feature,assigned group,assignment type,n specific group matches,matched specific groups,duplicate name count,is duplicate feature name,is BandCenter
0,density,Bond length / packing,specific rule,1,Bond length / packing,1,False,False
1,vpa,Bond length / packing,specific rule,1,Bond length / packing,1,False,False
2,packing fraction,Bond length / packing,specific rule,1,Bond length / packing,1,False,False
3,spacegroup_num,Global symmetry,specific rule,1,Global symmetry,1,False,False
4,crystal_system_int,Global symmetry,specific rule,1,Global symmetry,1,False,False
5,is_centrosymmetric,Global symmetry,specific rule,1,Global symmetry,1,False,False
6,n_symmetry_ops,Global symmetry,specific rule,1,Global symmetry,1,False,False
7,mean absolute deviation in relative bond length,Bond length / packing,specific rule,1,Bond length / packing,1,False,False
8,max relative bond length,Bond length / packing,specific rule,1,Bond length / packing,1,False,False
9,min relative bond length,Bond length / packing,specific rule,1,Bond length / packing,1,False,False
10,minimum neighbor distance variation,Bond length / packing,specific rule,1,Bond length / packing,1,False,False
11,maximum neighbor distance variation,Bond length / packing,specific rule,1,Bond length / packing,1,False,False
12,range neighbor distance variation,Bond length / packing,specific rule,1,Bond length / packing,1,False,False
13,mean neighbor distance variation,Bond length / packing,specific rule,1,Bond length / packing,1,False,False
14,avg_dev neighbor distance variation,Bond length / packing,specific rule,1,Bond length / packing,1,False,False
15,mean absolute deviation in relative cell size,Other structure,structure fallback,0,NA,1,False,False
16,mean ordering parameter shell 1,Chemical ordering,specific rule,1,Chemical ordering,1,False,False
17,mean ordering parameter shell 2,Chemical ordering,specific rule,1,Chemical ordering,1,False,False
18,mean ordering parameter shell 3,Chemical ordering,specific rule,1,Chemical ordering,1,False,False
19,dimensionality,Dimensionality,specific rule,1,Dimensionality,1,False,False
20,mean wt CN_1,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
21,std_dev wt CN_1,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
22,mean sgl_bd CN_1,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
23,std_dev sgl_bd CN_1,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
24,mean wt CN_2,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
25,std_dev wt CN_2,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
26,mean L-shaped CN_2,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
27,std_dev L-shaped CN_2,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
28,mean water-like CN_2,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
29,std_dev water-like CN_2,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
30,mean bent 120 degrees CN_2,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
31,std_dev bent 120 degrees CN_2,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
32,mean bent 150 degrees CN_2,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
33,std_dev bent 150 degrees CN_2,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
34,mean linear CN_2,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
35,std_dev linear CN_2,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
36,mean wt CN_3,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
37,std_dev wt CN_3,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
38,mean trigonal planar CN_3,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
39,std_dev trigonal planar CN_3,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
40,mean trigonal non-coplanar CN_3,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
41,std_dev trigonal non-coplanar CN_3,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
42,mean T-shaped CN_3,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
43,std_dev T-shaped CN_3,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
44,mean wt CN_4,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
45,std_dev wt CN_4,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
46,mean square co-planar CN_4,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
47,std_dev square co-planar CN_4,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
48,mean tetrahedral CN_4,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
49,std_dev tetrahedral CN_4,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
50,mean rectangular see-saw-like CN_4,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
51,std_dev rectangular see-saw-like CN_4,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
52,mean see-saw-like CN_4,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
53,std_dev see-saw-like CN_4,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
54,mean trigonal pyramidal CN_4,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
55,std_dev trigonal pyramidal CN_4,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
56,mean wt CN_5,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
57,std_dev wt CN_5,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
58,mean pentagonal planar CN_5,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
59,std_dev pentagonal planar CN_5,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
60,mean square pyramidal CN_5,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
61,std_dev square pyramidal CN_5,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
62,mean trigonal bipyramidal CN_5,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
63,std_dev trigonal bipyramidal CN_5,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
64,mean wt CN_6,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
65,std_dev wt CN_6,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
66,mean hexagonal planar CN_6,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
67,std_dev hexagonal planar CN_6,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
68,mean octahedral CN_6,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
69,std_dev octahedral CN_6,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
70,mean pentagonal pyramidal CN_6,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
71,std_dev pentagonal pyramidal CN_6,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
72,mean wt CN_7,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
73,std_dev wt CN_7,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
74,mean hexagonal pyramidal CN_7,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
75,std_dev hexagonal pyramidal CN_7,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
76,mean pentagonal bipyramidal CN_7,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
77,std_dev pentagonal bipyramidal CN_7,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
78,mean wt CN_8,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
79,std_dev wt CN_8,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
80,mean body-centered cubic CN_8,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
81,std_dev body-centered cubic CN_8,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
82,mean hexagonal bipyramidal CN_8,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
83,std_dev hexagonal bipyramidal CN_8,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
84,mean wt CN_9,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
85,std_dev wt CN_9,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
86,mean q2 CN_9,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
87,std_dev q2 CN_9,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
88,mean q4 CN_9,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
89,std_dev q4 CN_9,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
90,mean q6 CN_9,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
91,std_dev q6 CN_9,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
92,mean wt CN_10,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
93,std_dev wt CN_10,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
94,mean q2 CN_10,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
95,std_dev q2 CN_10,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
96,mean q4 CN_10,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
97,std_dev q4 CN_10,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
98,mean q6 CN_10,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
99,std_dev q6 CN_10,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
100,mean wt CN_11,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
101,std_dev wt CN_11,Coordination fingerprint,specific rule,1,Coordination fingerprint,1,False,False
