group,fold_0,fold_1,fold_2,fold_3,fold_4
Global symmetry,11.810037612915,11.869958877563,12.002909660339,11.671647071838,11.774327278137
Bond strength (comp),9.791984558105,9.644120216370,9.909511566162,10.045014381409,8.645858764648
d/p electron count (comp),11.259363174438,11.310732841492,11.488723754883,11.200850486755,10.893252372742
Ionicity,5.801058292389,6.368259429932,6.556269645691,5.686453342438,7.018824577332
Coordination fingerprint,26.293575286865,26.486482620239,25.867036819458,26.062923431396,26.179664611816
Valence total (comp),2.508610248566,2.810185909271,2.611642599106,2.662855863571,2.715855360031
Bond length / packing,6.449419021606,6.200878620148,6.421782970428,6.832159519196,6.673724174500
Periodic position (comp),8.156889915466,7.759902000427,7.959543228149,8.300876617432,7.825018405914
Atomic size (comp),6.793530941010,6.143881320953,5.763796806335,6.646771907806,6.792244434357
Band-gap prior (comp),2.000023126602,2.047472238541,1.957380771637,1.779739737511,1.947434663773
Chemical ordering,1.551992654800,1.839388489723,1.800979256630,1.840889096260,1.609946370125
BandCenter (L2 only),0.545747280121,0.594257175922,0.735087811947,0.413947701454,0.924491405487
Unfilled orbitals (comp),5.550386905670,5.460128307343,5.550969600677,5.414992809296,5.643027782440
Magnetic moment (comp),1.267828226089,1.184618711472,1.071031689644,1.188396811485,1.121552348137
Other structure,0.152104586363,0.232459887862,0.262049257755,0.219989359379,0.210022002459
Dimensionality,0.067448735237,0.047280516475,0.041283976287,0.032492719591,0.024747155607
