feature,group,fold_0,fold_1,fold_2,fold_3,fold_4,mean,std,rank
n_symmetry_ops,Global symmetry,0.280432283878,0.275079190731,0.285757154226,0.266120821238,0.279551714659,0.277388244867,0.007353094406,1
MagpieData mode MeltingT,Bond strength (comp),0.252638190985,0.244221329689,0.256803542376,0.254383355379,0.217055827379,0.245020434260,0.016333967447,2
MagpieData mean NdValence,d/p electron count (comp),0.150340989232,0.156482934952,0.161844730377,0.142604678869,0.137094661593,0.149673596025,0.010039275512,3
spacegroup_num,Global symmetry,0.126458257437,0.129126429558,0.125763282180,0.127257168293,0.118642218411,0.125449463725,0.004007574171,4
MagpieData maximum Electronegativity,Ionicity,0.095207072794,0.135558098555,0.135584682226,0.107985310256,0.142469480634,0.123360931873,0.020569255576,5
MagpieData maximum NdValence,d/p electron count (comp),0.102544546127,0.095126077533,0.104339525104,0.108649343252,0.102993480861,0.102730594575,0.004887551535,6
MagpieData mean NpValence,d/p electron count (comp),0.077829562128,0.075811445713,0.078154310584,0.075877562165,0.078022196889,0.077139019966,0.001187580987,7
mean octahedral CN_6,Coordination fingerprint,0.074803583324,0.070498958230,0.069762080908,0.060752648860,0.062259811908,0.067615419626,0.005923951510,8
MagpieData maximum NValence,Valence total (comp),0.046061150730,0.053290110081,0.054434768856,0.051923070103,0.052771281451,0.051696073264,0.003278771183,9
min relative bond length,Bond length / packing,0.055519901216,0.042457915843,0.045629151165,0.050331324339,0.060142233968,0.050816107541,0.007178112864,10
mean wt CN_1,Coordination fingerprint,0.045623585582,0.046371489763,0.056079242378,0.050061877817,0.054908234626,0.050608884543,0.004783230368,11
MagpieData avg_dev Electronegativity,Ionicity,0.052103545517,0.049584895372,0.048858836293,0.044415574521,0.046166397631,0.048225849867,0.003001821926,12
mean tetrahedral CN_4,Coordination fingerprint,0.044399682432,0.046858239919,0.045707941055,0.045749109238,0.044174261391,0.045377850533,0.001100430032,13
mean wt CN_6,Coordination fingerprint,0.038973204792,0.050395183265,0.043187763542,0.049635350704,0.041054509580,0.044649202377,0.005127195735,14
MagpieData avg_dev Column,Periodic position (comp),0.040180522949,0.039261464030,0.045065555722,0.040045432746,0.051312249154,0.043173048645,0.005095730070,15
