Feature group,n columns,Group total SHAP share (%),Fold-to-fold share std (%),Mean share per column (%/column)
Coordination fingerprint,122,26.177936553955,0.233699932694,0.214573250442
Global symmetry,12,11.825776100159,0.122452899814,0.985481341680
d/p electron count (comp),24,11.230585098267,0.217120319605,0.467941045761
Bond strength (comp),6,9.607297897339,0.557395517826,1.601216316223
Periodic position (comp),24,8.000446319580,0.226408123970,0.333351929983
Bond length / packing,11,6.515593051910,0.243641272187,0.592326641083
Atomic size (comp),24,6.428045749664,0.457175374031,0.267835239569
Ionicity,6,6.286172389984,0.550333678722,1.047695398331
Unfilled orbitals (comp),30,5.523901462555,0.088816322386,0.184130048752
Valence total (comp),6,2.661830186844,0.112832106650,0.443638364474
Band-gap prior (comp),6,1.946410179138,0.101227872074,0.324401696523
Chemical ordering,3,1.728639245033,0.137286663055,0.576213081678
Magnetic moment (comp),6,1.166685581207,0.074514232576,0.194447596868
BandCenter (L2 only),1,0.642706274986,0.194946184754,0.642706274986
Other structure,1,0.215325027704,0.040383968502,0.215325027704
Dimensionality,1,0.042650621384,0.016293918714,0.042650621384
